,country,city_name,code,guide_type,title
64,Ireland,Sligo,65828,가이드 투어,[한국어] 아일랜드 슬라이고 일일투어 - 문학투어 (아일랜드/슬라이고/더블린 출발)
65,Ireland,Dublin,65659,가이드 투어,[한국어] 더블린 시티투어 명소 TOP 10 (아일랜드/더블린)
66,Ireland,Dublin,66058,가이드 투어,"[한국어] 아일랜드 일주 3박4일 (더블린 출발 /서부, 골웨이 /북아일랜드, 벨파스트)"
67,Ireland,Dublin,66801,가이드 투어,[한국어] 아이리쉬 펍 순례 X 기네스 투어 X 아일랜드 더블린 야간투어
68,United Kingdom,London,66554,여행편의,"[인천공항 수령] 유럽 유심 - EE/Three 유심 3종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
69,France,Paris,53666,여행편의,"[공항유심] -더블데이터 프로모션 - KPN유심, TDC유심, 쓰리유심 ( 수령비 무료)"
70,United Kingdom,London,2246,가이드 투어,★브랜드대상1위/옥스포드+코츠월드(+비스터빌리지)/점심+해리포터 목도리 제공 (2만원상당)
71,United Kingdom,London,10725,가이드 투어,"세븐시스터즈,브라이튼 투어 [죽기 전에 꼭 가 봐야할 곳] "
72,United Kingdom,London,27564,가이드 투어,[세븐시스터즈+브라이튼]#런던1위#재미와 감동이 있는 소풍투어# 시즌특가 7만9천원
73,United Kingdom,London,27527,가이드 투어,#런던 로맨틱 야경투어# [런던소풍]가이드와 함께 안전하고 즐거운 야경투어와 인생사진!
74,United Kingdom,London,11400,가이드 투어,[오전/오후 택1] 내셔널갤러리 유럽역사 그림 탐방 
75,United Kingdom,London,44373,가이드 투어,[오전/오후] 내셔널갤러리 반일 투어 [매일 출발~]
76,United Kingdom,London,5017,가이드 투어,[스톤헨지투어 1위 !!] 세계 7대불가사의 스톤헨지+바스+코츠월드 (캐슬쿰) 
77,United Kingdom,London,11399,가이드 투어,[오전/오후 택1] 대영 박물관 세계사 시간 여행
78,United Kingdom,London,66554,여행편의,"[인천공항 수령] 유럽 유심 - EE/Three 유심 3종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
79,United Kingdom,London,61604,티켓/교통패스,런던 : 히드로 익스프레스 티켓
80,Austria,Vienna,67040,가이드 투어,"[최고 인기 투어] 짱! 재밌는 비엔나 핵심명소 투어 :: 벨베데레, 쇤부른 포함"
81,Czech Republic,Praha,31398,가이드 투어,[사전예약 30%할인/무료스냅] 최대 7인 할슈타트+고사우+체스키 당일투어 (프라하출발)
82,Austria,Vienna,61730,가이드 투어,[인기최고! 알찬투어!] 비엔나 핵심 명소투어  국가공인 로컬가이드와 함께!!
83,Austria,Vienna,48505,가이드 투어,[베스트셀러] 최고의 일정 감동 투어 :: 오스트리아/비엔나
84,Austria,Vienna,71463,가이드 투어,[WIEN] 맞춤형 미술관  박물관  시내 관광 [VIENNA] (오스트리아/비엔나)
85,Austria,Vienna,65339,가이드 투어,"[소수정예 고퀄 보장 투어] 비엔나핵심, 벨베데레, 쇤부른 포함 [최대10명 제한]"
86,Czech Republic,Praha,59701,가이드 투어,[최장기간/최다햇수] 프라하 출발 > 체스키크롬로프+할슈타트+고사우 당일 치기 투어 (체코/프라하)
87,Czech Republic,Praha,27205,가이드 투어,[오스트리아/체코]프라하 할슈타트+고사우+체스키크롬로프여행차량투어(최대6명)
88,United Kingdom,London,66554,여행편의,"[인천공항 수령] 유럽 유심 - EE/Three 유심 3종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
89,France,Paris,53666,여행편의,"[공항유심] -더블데이터 프로모션 - KPN유심, TDC유심, 쓰리유심 ( 수령비 무료)"
90,Italy,Roma,7511,가이드 투어,::당일예약가능::[오전/오후]바티칸반일투어SKIP THE LINE/바티칸회화관+베드로성당
91,Italy,Roma,2007,가이드 투어,★[10주년 50% 할인이벤트] 바티칸 집중콘서트(반일투어) 
92,Italy,Firenze,4423,가이드 투어,"[공인가이드] 소수인원 우피치 미술관  (오전반,오후반) "
93,Italy,Roma,2398,가이드 투어,"::당일예약가능:: 이탈리아 남부투어(3,100건이상 최다후기/포지타노/이브닝투어무료)"
94,Italy,Roma,5638,가이드 투어,[투어] 줄 안서는 바티칸 오전반일 투어(회화관 최초입성)
95,Italy,Firenze,2853,가이드 투어, (당일예약가능) 피렌체 야경투어 [야경투어 기념사진] 
96,Italy,Roma,2112,가이드 투어,#[딱 한달만!! 한정 초특가 / 소수그룹 / 로마시내 종일투어] 로마 정복콘서트
97,Italy,Firenze,30052,가이드 투어,[피렌체] 한방에 끝내기!! 시내 야경 투어!! (미켈란젤로 언덕)
